Agency,City,State,Legacy NTD ID,NTD ID,Organization Type,NTD Reporter Type,Primary UZA Population,Agency VOMS,Mode,Type of Service,Mode VOMS,Mode VOMS Questionable,Max Trains in Operation,Max Trains in Operation Questionable,Average Speed (mi/hr),Average Speed (mi/hr) Questionable,Average Passenger Trip Length (mi),Average Passenger Trip Length (mi) Questionable,Passengers per Hour,Passengers per Hour Questionable,Scheduled Vehicle Revenue Miles,Scheduled Vehicle Revenue Miles Questionable,Vehicle Miles,Vehicle Miles Questionable,Vehicle Revenue Miles,Vehicle Revenue Miles Questionable,Deadhead Miles, Deadhead Miles Questionable ,Vehicle Hours, Vehicle Hours Questionable ,"Vehicle 
Revenue 
Hours", Vehicle Revenue Hours Questionable ,Deadhead Hours, Deadhead Hours Questionable ,Train Miles, Train Miles Questionable ,"Train 
Revenue
Miles", Train Revenue Miles Questionable ,Train Hours, Train Hours Questionable ,"Train 
Revenue 
Hours", Train Revenue Hours Questionable ,Unlinked Passenger Trips, Unlinked Passenger Trips Questionable ,Passenger Miles,Passenger Miles Questionable,Directional Route Miles
Sweetwater Transit Authority Resources,Rock Springs,WY,8R05-009,8R05-80218,Private-Non-Profit Corporation,Rural Reporter, 0 ,  13 ,MB,DO,3,,0,,  13.51 ,,  -   ,,  3.44 ,, 0 ,, 0 ,,89556,, 0 ,, 0 ,,6631,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,22811,, 0 ,,0.0
City of Casper,Casper,WY,8013,80013,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter," 64,548 ",  13 ,DR,PT,7,,0,,  12.35 ,,  -   ,,  2.70 ,, 0 ,, 0 ,,212006,, 0 ,, 0 ,,17167,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,46385,, 0 ,,0.0
Sweetwater Transit Authority Resources,Rock Springs,WY,8R05-009,8R05-80218,Private-Non-Profit Corporation,Rural Reporter, 0 ,  13 ,DR,DO,10,,0,,  19.29 ,,  -   ,,  3.23 ,, 0 ,, 0 ,,105188,, 0 ,, 0 ,,5452,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,17592,, 0 ,,0.0
Senior Citizens Council,Sheridan,WY,8R05-011,8R05-80193,Private-Non-Profit Corporation,Rural Reporter, 0 ,  11 ,DR,DO,11,,0,,  9.33 ,,  -   ,,  2.01 ,, 0 ,, 0 ,,177796,, 0 ,, 0 ,,19050,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,38238,, 0 ,,0.0
Weston County Senior Services,Newcastle,WY,8R05-027,8R05-80288,Private-Non-Profit Corporation,Rural Reporter, 0 ,  8 ,DR,DO,8,,0,,  14.13 ,,  -   ,,  8.10 ,, 0 ,, 0 ,,88970,, 0 ,, 0 ,,6295,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,50986,, 0 ,,0.0
Campbell County Senior Citizens Association Inc,Gillette,WY,8R05-003,8R05-80163,Private-Non-Profit Corporation,Rural Reporter, 0 ,  7 ,DR,DO,7,,0,,  32.82 ,,  -   ,,  8.09 ,, 0 ,, 0 ,,70409,, 0 ,, 0 ,,2145,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,17363,, 0 ,,0.0
"Cody Council on Aging, Inc.",Cody,WY,8R05-054,8R05-80264,Private-Non-Profit Corporation,Rural Reporter, 0 ,  6 ,DR,DO,6,,0,,  5.63 ,,  -   ,,  1.08 ,, 0 ,, 0 ,,68712,, 0 ,, 0 ,,12208,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,13225,, 0 ,,0.0
Goshen County Senior Friendship Center,Torrington,WY,8R05-004,8R05-80287,Private-Non-Profit Corporation,Rural Reporter, 0 ,  5 ,DR,DO,5,,0,,  10.41 ,,  -   ,,  3.72 ,, 0 ,, 0 ,,44404,, 0 ,, 0 ,,4266,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,15875,, 0 ,,0.0
"South Big Horn Senior Citizens, Inc.",Greybull,WY,8R05-035,8R05-80120,Private-Non-Profit Corporation,Rural Reporter, 0 ,  5 ,DR,DO,5,,0,,  26.30 ,,  -   ,,  5.09 ,, 0 ,, 0 ,,43992,, 0 ,, 0 ,,1673,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,8510,, 0 ,,0.0
Converse County Aging Services,Douglas,WY,8R05-024,8R05-80216,Private-Non-Profit Corporation,Rural Reporter, 0 ,  5 ,DR,DO,5,,0,,  11.84 ,,  -   ,,  4.71 ,, 0 ,, 0 ,,53856,, 0 ,, 0 ,,4547,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,21411,, 0 ,,0.0
"Star Valley Senior Citizens, Inc",Afton,WY,8R05-029,8R05-80294,Private-Non-Profit Corporation,Rural Reporter, 0 ,  4 ,DR,DO,4,,0,,  15.21 ,,  -   ,,  0.18 ,, 0 ,, 0 ,,20219,, 0 ,, 0 ,,1329,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,241,, 0 ,,0.0
Eppson Center for Seniors,Laramie,WY,8R05-005,8R05-80252,Private-Non-Profit Corporation,Rural Reporter, 0 ,  4 ,DR,DO,4,,0,,  11.96 ,,  -   ,,  2.30 ,, 0 ,, 0 ,,70009,, 0 ,, 0 ,,5854,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,13471,, 0 ,,0.0
"Niobrara Senior Center, Inc.",Lusk,WY,8R05-041,8R05-80217,Private-Non-Profit Corporation,Rural Reporter, 0 ,  4 ,DR,DO,4,,0,,  19.04 ,,  -   ,,  1.52 ,, 0 ,, 0 ,,28499,, 0 ,, 0 ,,1497,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,2269,, 0 ,,0.0
"Powell Senior Citizens Ago-Go, Inc.",Powell,WY,,8R05-88219,Private-Non-Profit Corporation,Rural Reporter, 0 ,  4 ,DR,DO,4,,0,,  7.24 ,,  -   ,,  2.39 ,, 0 ,, 0 ,,27390,, 0 ,, 0 ,,3784,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,9057,, 0 ,,0.0
Buffalo Senior Center Inc,Buffalo,WY,8R05-023,8R05-80151,Private-Non-Profit Corporation,Rural Reporter, 0 ,  4 ,DR,DO,4,,0,,  7.86 ,,  -   ,,  2.04 ,, 0 ,, 0 ,,53021,, 0 ,, 0 ,,6748,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,13775,, 0 ,,0.0
"Lander Senior Citizens Center, Inc.",Lander,WY,8R05-040,8R05-80223,Private-Non-Profit Corporation,Rural Reporter, 0 ,  4 ,DR,DO,4,,0,,  8.86 ,,  -   ,,  2.69 ,, 0 ,, 0 ,,54833,, 0 ,, 0 ,,6188,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,16653,, 0 ,,0.0
Riverton Senior Center,Riverton,WY,8R05-007,8R05-80185,Private-Non-Profit Corporation,Rural Reporter, 0 ,  4 ,DR,DO,4,,0,,  9.84 ,,  -   ,,  3.12 ,, 0 ,, 0 ,,54012,, 0 ,, 0 ,,5491,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,17117,, 0 ,,0.0
Washakie County Senior Citizens Center,Worland,WY,,8R05-88224,Private-Non-Profit Corporation,Rural Reporter, 0 ,  4 ,DR,DO,4,,0,,  7.96 ,,  -   ,,  2.19 ,, 0 ,, 0 ,,29056,, 0 ,, 0 ,,3649,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,8008,, 0 ,,0.0
Meeteetse Recreation District,Meeteetse,WY,8R05-042,8R05-80222,Private-Non-Profit Corporation,Rural Reporter, 0 ,  3 ,DR,DO,3,,0,,  14.56 ,,  -   ,,  3.30 ,, 0 ,, 0 ,,5635,, 0 ,, 0 ,,387,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,1279,, 0 ,,0.0
Southern Teton Area Rapid Transit,Jackson,WY,8R05-010,0R01-80188,Independent Public Agency or Authority of Transit Service,Rural Reporter, 0 ,  3 ,MB,DO,3,,0,,  31.56 ,,  -   ,,  17.91 ,, 0 ,, 0 ,,59367,, 0 ,, 0 ,,1881,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,33696,, 0 ,,0.0
"Southwest Sublette County Pioneers, Inc.",Big Piney,WY,8R05-030,8R05-80265,Private-Non-Profit Corporation,Rural Reporter, 0 ,  3 ,DR,DO,3,,0,,  26.39 ,,  -   ,,  2.24 ,, 0 ,, 0 ,,12297,, 0 ,, 0 ,,466,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,1044,, 0 ,,0.0
Southern Teton Area Rapid Transit,Jackson,WY,8R05-010,0R01-80188,Independent Public Agency or Authority of Transit Service,Rural Reporter, 0 ,  3 ,DR,DO,0,,0,,  -   ,,  -   ,,  -   ,, 0 ,, 0 ,,0,, 0 ,, 0 ,,0,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,0,, 0 ,,0.0
Rendezvous Pointe,Pinedale,WY,8R05-043,8R05-80301,Private-Non-Profit Corporation,Rural Reporter, 0 ,  3 ,DR,DO,3,,0,,  29.19 ,,  -   ,,  3.56 ,, 0 ,, 0 ,,21750,, 0 ,, 0 ,,745,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,2651,, 0 ,,0.0
Shoshone and Arapaho Tribes DOT,Fort Washakie,WY,8T15,80015,Tribe,Reduced Reporter, 0 ,  2 ,DR,DO,2,,0,,  8.52 ,,  -   ,,  1.28 ,, 0 ,, 0 ,,23179,, 0 ,, 0 ,,2720,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,3469,, 0 ,,0.0
Kanawha Valley Regional Transportation Authority,Charleston,WV,3001,30001,Independent Public Agency or Authority of Transit Service,Full Reporter," 153,199 ",  46 ,MB,DO,35,,0,,  16.90 ,,  4.88 ,,  12.51 ,," 2,272,370 ",," 2,312,170 ",,2201277,," 110,893 ",," 134,388 ",,130242,," 4,146 ",, 0 ,, 0 ,, 0 ,, 0 ,,1629942,," 7,950,277 ",,503.0
Kanawha Valley Regional Transportation Authority,Charleston,WV,3001,30001,Independent Public Agency or Authority of Transit Service,Full Reporter," 153,199 ",  46 ,DR,DO,11,,0,,  10.88 ,,  11.35 ,,  0.96 ,, 0 ,," 241,282 ",,222688,," 18,594 ",," 22,338 ",,20475,," 1,863 ",, 0 ,, 0 ,, 0 ,, 0 ,,19718,," 223,781 ",,0.0
West Virginia University - Morgantown Personal Rapid Transit,Morgantown,WV,3107,30107,University,Full Reporter," 70,350 ",  43 ,MG,DO,43,,43,,  7.25 ,,  1.85 ,,  22.51 ,," 651,941 ",," 649,334 ",,632104,," 17,230 ",," 90,647 ",,87161,," 3,486 ",," 649,334 ",," 632,104 ",," 90,647 ",," 87,161 ",,1961676,," 3,623,838 ",,6.3
The Tri-State Transit Authority,Huntington,WV,3002,30002,Independent Public Agency or Authority of Transit Service,Full Reporter," 202,637 ",  33 ,MB,DO,23,,0,,  15.19 ,,  5.52 ,,  14.93 ,," 881,721 ",," 918,431 ",,880808,," 37,623 ",," 60,013 ",,57986,," 2,027 ",, 0 ,, 0 ,, 0 ,, 0 ,,865683,," 4,778,570 ",,289.0
The Tri-State Transit Authority,Huntington,WV,3002,30002,Independent Public Agency or Authority of Transit Service,Full Reporter," 202,637 ",  33 ,DR,DO,10,,0,,  16.80 ,,  5.50 ,,  1.77 ,, 0 ,," 375,349 ",,342952,," 32,397 ",," 22,130 ",,20412,," 1,718 ",, 0 ,, 0 ,, 0 ,, 0 ,,36205,," 199,128 ",,0.0
Eastern Panhandle Transit Authority,Martinsburg,WV,3090,30090,Independent Public Agency or Authority of Transit Service,Reduced Reporter," 182,696 ",  26 ,MB,DO,19,,0,,  19.36 ,,  -   ,,  10.92 ,, 0 ,, 0 ,,358207,, 0 ,, 0 ,,18503,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,201976,, 0 ,,0.0
Eastern Panhandle Transit Authority,Martinsburg,WV,3090,30090,Independent Public Agency or Authority of Transit Service,Reduced Reporter," 182,696 ",  26 ,DR,DO,7,,0,,  19.76 ,,  -   ,,  1.86 ,, 0 ,, 0 ,,207540,, 0 ,, 0 ,,10502,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,19561,, 0 ,,0.0
Bluefield Area Transit,Bluefield,WV,3R05-013,3R05-30121,"City, County or Local Government Unit or Department of Transportation",Rural Reporter, 0 ,  24 ,MB,DO,11,,0,,  18.63 ,,  -   ,,  9.04 ,, 0 ,, 0 ,,411992,, 0 ,, 0 ,,22117,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,200005,, 0 ,,0.0
"Monongalia County Urban Mass Transit Authority, dba: Mountain Line Transit Authority",Morgantown,WV,3089,30089,Independent Public Agency or Authority of Transit Service,Reduced Reporter," 70,350 ",  24 ,DR,DO,1,,0,,  16.64 ,,  -   ,,  2.71 ,, 0 ,, 0 ,,14180,, 0 ,, 0 ,,852,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,2308,, 0 ,,0.0
Bluefield Area Transit,Bluefield,WV,3R05-013,3R05-30121,"City, County or Local Government Unit or Department of Transportation",Rural Reporter, 0 ,  24 ,DR,DO,13,,0,,  17.25 ,,  -   ,,  0.77 ,, 0 ,, 0 ,,358809,, 0 ,, 0 ,,20797,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,16046,, 0 ,,0.0
"Monongalia County Urban Mass Transit Authority, dba: Mountain Line Transit Authority",Morgantown,WV,3089,30089,Independent Public Agency or Authority of Transit Service,Reduced Reporter," 70,350 ",  24 ,MB,DO,23,,0,,  18.27 ,,  -   ,,  14.81 ,, 0 ,, 0 ,,1241381,, 0 ,, 0 ,,67933,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,1006248,, 0 ,,0.0
Central West Virginia Transit Authority,Clarksburg,WV,3R05-014,3R05-30119,Independent Public Agency or Authority of Transit Service,Rural Reporter, 0 ,  21 ,DR,DO,5,,0,,  9.42 ,,  -   ,,  0.56 ,, 0 ,, 0 ,,89985,, 0 ,, 0 ,,9549,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,5365,, 0 ,,0.0
Fairmont Marion County Transit Authority,Fairmont,WV,3R05-015,3R05-30149,Independent Public Agency or Authority of Transit Service,Rural Reporter, 0 ,  21 ,MB,DO,14,,0,,  24.63 ,,  -   ,,  10.88 ,, 0 ,, 0 ,,399894,, 0 ,, 0 ,,16239,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,176752,, 0 ,,0.0
Fairmont Marion County Transit Authority,Fairmont,WV,3R05-015,3R05-30149,Independent Public Agency or Authority of Transit Service,Rural Reporter, 0 ,  21 ,DR,DO,7,,0,,  21.80 ,,  -   ,,  3.37 ,, 0 ,, 0 ,,151017,, 0 ,, 0 ,,6926,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,23369,, 0 ,,0.0
Central West Virginia Transit Authority,Clarksburg,WV,3R05-014,3R05-30119,Independent Public Agency or Authority of Transit Service,Rural Reporter, 0 ,  21 ,MB,DO,16,,0,,  17.36 ,,  -   ,,  8.55 ,, 0 ,, 0 ,,543588,, 0 ,, 0 ,,31311,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,267563,, 0 ,,0.0
Mid-Ohio Valley Transit Authority,Parkersburg,WV,3003,30003,Independent Public Agency or Authority of Transit Service,Reduced Reporter," 67,229 ",  20 ,DR,DO,1,,0,,  12.33 ,,  -   ,,  2.45 ,, 0 ,, 0 ,,33582,, 0 ,, 0 ,,2724,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,6677,, 0 ,,0.0
Tri River Transit,Hamlin,WV,3R05-021,3R05-30183,Independent Public Agency or Authority of Transit Service,Rural Reporter, 0 ,  20 ,MB,DO,9,,0,,  21.95 ,,  -   ,,  2.84 ,, 0 ,, 0 ,,597641,, 0 ,, 0 ,,27226,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,77375,, 0 ,,0.0
Tri River Transit,Hamlin,WV,3R05-021,3R05-30183,Independent Public Agency or Authority of Transit Service,Rural Reporter, 0 ,  20 ,DR,DO,11,,0,,  21.95 ,,  -   ,,  1.78 ,, 0 ,, 0 ,,244107,, 0 ,, 0 ,,11121,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,19741,, 0 ,,0.0
Mid-Ohio Valley Transit Authority,Parkersburg,WV,3003,30003,Independent Public Agency or Authority of Transit Service,Reduced Reporter," 67,229 ",  20 ,MB,DO,19,,0,,  14.70 ,,  -   ,,  11.23 ,, 0 ,, 0 ,,667058,, 0 ,, 0 ,,45382,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,509830,, 0 ,,0.0
Potomac Valley Transit Authority,Petersburg,WV,3R05-018,3R05-30135,Independent Public Agency or Authority of Transit Service,Rural Reporter, 0 ,  19 ,MB,DO,12,,0,,  23.41 ,,  -   ,,  3.81 ,, 0 ,, 0 ,,451719,, 0 ,, 0 ,,19298,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,73483,, 0 ,,0.0
"Preston County Sr. Cit, Inc. , dba: Buckwheat Express",Kingwood,WV,3R05-019,3R05-30190,Private-Non-Profit Corporation,Rural Reporter, 0 ,  19 ,MB,DO,8,,0,,  11.65 ,,  -   ,,  2.01 ,, 0 ,, 0 ,,117249,, 0 ,, 0 ,,10068,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,20216,, 0 ,,0.0
Potomac Valley Transit Authority,Petersburg,WV,3R05-018,3R05-30135,Independent Public Agency or Authority of Transit Service,Rural Reporter, 0 ,  19 ,DR,DO,7,,0,,  21.33 ,,  -   ,,  2.24 ,, 0 ,, 0 ,,185724,, 0 ,, 0 ,,8706,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,19468,, 0 ,,0.0
"Preston County Sr. Cit, Inc. , dba: Buckwheat Express",Kingwood,WV,3R05-019,3R05-30190,Private-Non-Profit Corporation,Rural Reporter, 0 ,  19 ,DR,DO,11,,0,,  12.65 ,,  -   ,,  1.86 ,, 0 ,, 0 ,,84904,, 0 ,, 0 ,,6712,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,12478,, 0 ,,0.0
New River Transit Authority,Beckley,WV,,30199,Independent Public Agency or Authority of Transit Service,Reduced Reporter," 64,022 ",  18 ,MB,PT,18,,0,,  16.36 ,,  -   ,,  2.55 ,, 0 ,, 0 ,,289400,, 0 ,, 0 ,,17691,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,45049,, 0 ,,0.0
Ohio Valley Regional Transportation Authority,Wheeling,WV,3035,30035,Independent Public Agency or Authority of Transit Service,Full Reporter," 81,249 ",  16 ,MB,DO,14,,0,,  13.75 ,,  3.50 ,,  6.66 ,," 746,169 ",," 751,616 ",,746165,," 5,451 ",," 54,630 ",,54274,, 356 ,, 0 ,, 0 ,, 0 ,, 0 ,,361305,," 1,264,568 ",,143.0
Ohio Valley Regional Transportation Authority,Wheeling,WV,3035,30035,Independent Public Agency or Authority of Transit Service,Full Reporter," 81,249 ",  16 ,DR,DO,2,,0,,  14.64 ,,  4.92 ,,  2.43 ,, 0 ,," 44,845 ",,27517,," 17,328 ",," 2,886 ",,1880,," 1,006 ",, 0 ,, 0 ,, 0 ,, 0 ,,4574,," 22,504 ",,0.0
"Randolph County Senior Center , dba: Country Roads Transit",Elkins,WV,3R05-023,3R05-30122,Private-Non-Profit Corporation,Rural Reporter, 0 ,  14 ,MB,DO,6,,0,,  9.42 ,,  -   ,,  1.46 ,, 0 ,, 0 ,,47659,, 0 ,, 0 ,,5060,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,7380,, 0 ,,0.0
"Randolph County Senior Center , dba: Country Roads Transit",Elkins,WV,3R05-023,3R05-30122,Private-Non-Profit Corporation,Rural Reporter, 0 ,  14 ,DR,DO,8,,0,,  9.00 ,,  -   ,,  1.60 ,, 0 ,, 0 ,,96761,, 0 ,, 0 ,,10753,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,17221,, 0 ,,0.0
"Barbour Co. Senior Center , dba: Here & There Transit",Philippi,WV,3R05-016,3R05-30138,Private-Non-Profit Corporation,Rural Reporter, 0 ,  11 ,MB,DO,1,,0,,  10.47 ,,  -   ,,  3.62 ,, 0 ,, 0 ,,20945,, 0 ,, 0 ,,2001,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,7247,, 0 ,,0.0
"Barbour Co. Senior Center , dba: Here & There Transit",Philippi,WV,3R05-016,3R05-30138,Private-Non-Profit Corporation,Rural Reporter, 0 ,  11 ,DR,DO,10,,0,,  15.97 ,,  -   ,,  1.22 ,, 0 ,, 0 ,,233886,, 0 ,, 0 ,,14645,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,17820,, 0 ,,0.0
Mountain Transit Authority,Summersville,WV,3R05-017,3R05-30140,Independent Public Agency or Authority of Transit Service,Rural Reporter, 0 ,  9 ,DR,DO,4,,0,,  15.99 ,,  -   ,,  2.05 ,, 0 ,, 0 ,,58488,, 0 ,, 0 ,,3657,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,7505,, 0 ,,0.0
Little Kanawha Transit Authority,Grantsville,WV,3R05-020,3R05-30162,Independent Public Agency or Authority of Transit Service,Rural Reporter, 0 ,  9 ,DR,DO,9,,0,,  11.50 ,,  -   ,,  2.79 ,, 0 ,, 0 ,,175613,, 0 ,, 0 ,,15277,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,42591,, 0 ,,0.0
Mountain Transit Authority,Summersville,WV,3R05-017,3R05-30140,Independent Public Agency or Authority of Transit Service,Rural Reporter, 0 ,  9 ,MB,DO,5,,0,,  17.62 ,,  -   ,,  3.02 ,, 0 ,, 0 ,,161528,, 0 ,, 0 ,,9166,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,27706,, 0 ,,0.0
Weirton Transit Corporation,Weirton,WV,3066,30066,Other Publicly-Owned or Privately Chartered Corporation,Reduced Reporter," 70,889 ",  8 ,MB,DO,8,,0,,  11.84 ,,  -   ,,  3.53 ,, 0 ,, 0 ,,162028,, 0 ,, 0 ,,13685,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,48305,, 0 ,,0.0
 Sistersville Ferry ,  Sistersville,WV,,3R05-30992,"City, County or Local Government Unit or Department of Transportation",Rural Reporter, 0 ,  1 ,FB,DO,1,,0,,  0.34 ,,  -   ,,  3.67 ,, 0 ,, 0 ,,393,, 0 ,, 0 ,,1152,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,4231,, 0 ,,0.0
"Milwaukee County, dba: Milwaukee County Transit System",Milwaukee,WI,5008,50008,"City, County or Local Government Unit or Department of Transportation",Full Reporter," 1,376,476 ",  405 ,MB,PT,321,,0,,  12.50 ,,  3.51 ,,  23.22 ,," 16,511,754 ",," 17,825,484 ",,16381053,," 1,444,431 ",," 1,374,769 ",,1310740,," 64,029 ",, 0 ,, 0 ,, 0 ,, 0 ,,30429789,," 106,718,086 ",,"1,170.0"
